Experiment,FormulaNumber,Bound,Tool,Formula,StreamLength,TimeUnit,TimeElapsed,TimeStamp
timescales,1.0,32.0,Reelay,({x > 0.25} -> (historically[:32](not {x > 0.5}))),5000000.0,ms,2034.0,2021-03-02 21:25:27.186476-06:00
timescales,1.0,16.0,semiring-monitor,({x > 0.25} -> (historically[:16](not {x > 0.5}))),100000000.0,ms,2529.0,2021-03-02 17:44:37.240765-06:00
timescales,3.0,64.0,semiring-monitor,((once[:64]({x > 0.0})) -> ({x > 0.5} since {x > 0.0})),100000000.0,ms,3249.0,2021-03-02 21:27:43.052441-06:00
timescales,3.0,32.0,semiring-monitor,((once[:32]({x > 0.0})) -> ({x > 0.5} since {x > 0.0})),100000000.0,ms,3342.0,2021-03-02 19:52:38.870509-06:00
timescales,4.0,131072.0,semiring-monitor,({x > 0.25} -> (historically[:131072]{x > 0.5})),100000000.0,ms,3318.0,2021-03-02 19:13:15.881278-06:00
timescales,7.0,131072.0,lattice-monitor,F7(131072),5000000.0,ms,3717.50283241,2021-03-02 21:18:21.010628-06:00
timescales,0.0,65536.0,semiring-monitor,((once[:65536]{x > 0.0}) -> ((not {x > 0.5}) since {x > 0.0})),100000000.0,ms,3560.0,2021-03-02 17:36:00.990758-06:00
timescales,2.0,65536.0,semiring-monitor,({x > 0.25} && !{x > 0.0} && once {x > 0.0} ) -> ((not {x > 0.5}) since[65536:131072] {x > 0.0}),100000000.0,ms,6655.0,2021-03-02 18:08:04.841388-06:00
timescales,4.0,2048.0,Reelay,({x > 0.25} -> (historically[:2048]{x > 0.5})),5000000.0,ms,2026.0,2021-03-02 21:37:08.425912-06:00
timescales,3.0,262144.0,lattice-monitor,F3(262144),5000000.0,ms,2397.51315117,2021-03-02 18:12:21.938448-06:00
timescales,8.0,32.0,Reelay,(({x > 0.75} -> once[32:64] {x > 0.5}) and not( not({x > 0.75}) since[32:] {x > 0.5})),5000000.0,ms,7307.0,2021-03-02 17:47:37.473470-06:00
timescales,0.0,8192.0,lattice-monitor,F0(8192),5000000.0,ms,1668.45417023,2021-03-02 19:04:22.832859-06:00
timescales,9.0,256.0,semiring-monitor,({x > 0.25} && !{x > 0.0} && once {x > 0.0}) -> ((({x > 0.75} -> once[256:512] {x > 0.5}) and not( not({x > 0.75}) since[256:] {x > 0.5})) since {x > 0.0}),100000000.0,ms,8586.0,2021-03-02 20:30:14.539340-06:00
timescales,8.0,512.0,lattice-monitor,F8(512),5000000.0,ms,3208.43696594,2021-03-02 17:23:30.578122-06:00
timescales,6.0,2048.0,semiring-monitor,(once[:2048]{x > 0.5}),100000000.0,ms,1374.0,2021-03-02 20:35:17.559257-06:00
timescales,2.0,128.0,Reelay,({x > 0.25} && !{x > 0.0} && once {x > 0.0} ) -> ((not {x > 0.5}) since[128:256] {x > 0.0}),5000000.0,ms,7515.0,2021-03-02 20:58:07.863000-06:00
timescales,9.0,262144.0,Reelay,({x > 0.25} && !{x > 0.0} && once {x > 0.0}) -> ((({x > 0.75} -> once[262144:524288] {x > 0.5}) and not( not({x > 0.75}) since[262144:] {x > 0.5})) since {x > 0.0}),5000000.0,ms,7647.0,2021-03-02 21:21:04.667274-06:00
timescales,2.0,32.0,lattice-monitor,F2(32),5000000.0,ms,3148.4541893,2021-03-02 19:21:05.374381-06:00
timescales,2.0,262144.0,Reelay,({x > 0.25} && !{x > 0.0} && once {x > 0.0} ) -> ((not {x > 0.5}) since[262144:524288] {x > 0.0}),5000000.0,ms,6528.0,2021-03-02 21:50:47.298812-06:00
timescales,3.0,256.0,semiring-monitor,((once[:256]({x > 0.0})) -> ({x > 0.5} since {x > 0.0})),100000000.0,ms,3146.0,2021-03-02 16:50:36.494616-06:00
timescales,9.0,262144.0,lattice-monitor,F9(262144),5000000.0,ms,6532.99498558,2021-03-02 20:49:51.542959-06:00
timescales,6.0,524288.0,lattice-monitor,F6(524288),5000000.0,ms,1709.85293388,2021-03-02 18:46:17.170341-06:00
timescales,1.0,1024.0,semiring-monitor,({x > 0.25} -> (historically[:1024](not {x > 0.5}))),100000000.0,ms,2393.0,2021-03-02 19:30:23.182726-06:00
timescales,6.0,2048.0,Reelay,(once[:2048]{x > 0.5}),5000000.0,ms,2065.0,2021-03-02 20:35:15.478121-06:00
timescales,3.0,524288.0,Reelay,((once[:524288]({x > 0.0})) -> ({x > 0.5} since {x > 0.0})),5000000.0,ms,2247.0,2021-03-02 20:50:50.877085-06:00
timescales,4.0,262144.0,Reelay,({x > 0.25} -> (historically[:262144]{x > 0.5})),5000000.0,ms,2066.0,2021-03-02 18:43:47.631675-06:00
timescales,6.0,524288.0,Reelay,(once[:524288]{x > 0.5}),5000000.0,ms,1955.0,2021-03-02 21:22:28.906134-06:00
timescales,7.0,262144.0,Reelay,(({x > 0.25} && !{x > 0.0} && once {x > 0.0}) -> ((once[:262144]({x > 0.5} or {x > 0.0})) since {x > 0.0})),5000000.0,ms,2701.0,2021-03-02 17:41:26.738858-06:00
timescales,2.0,2048.0,semiring-monitor,({x > 0.25} && !{x > 0.0} && once {x > 0.0} ) -> ((not {x > 0.5}) since[2048:4096] {x > 0.0}),100000000.0,ms,6834.0,2021-03-02 17:58:02.209264-06:00
timescales,0.0,2048.0,lattice-monitor,F0(2048),5000000.0,ms,1469.00486946,2021-03-02 17:25:58.287475-06:00
timescales,9.0,32768.0,semiring-monitor,({x > 0.25} && !{x > 0.0} && once {x > 0.0}) -> ((({x > 0.75} -> once[32768:65536] {x > 0.5}) and not( not({x > 0.75}) since[32768:] {x > 0.5})) since {x > 0.0}),100000000.0,ms,8415.0,2021-03-02 21:46:10.172689-06:00
timescales,5.0,32.0,lattice-monitor,F5(32),5000000.0,ms,3859.38286781,2021-03-02 17:15:44.629136-06:00
timescales,9.0,2048.0,lattice-monitor,F9(2048),5000000.0,ms,4840.31200409,2021-03-02 20:35:47.410131-06:00
timescales,4.0,256.0,Reelay,({x > 0.25} -> (historically[:256]{x > 0.5})),5000000.0,ms,1954.0,2021-03-02 17:21:04.301372-06:00
timescales,7.0,8192.0,lattice-monitor,F7(8192),5000000.0,ms,3295.95804214,2021-03-02 17:30:59.846839-06:00
timescales,0.0,4096.0,Reelay,((once[:4096]{x > 0.00}) -> ((not {x > 0.5}) since {x > 0.00})),5000000.0,ms,2280.0,2021-03-02 20:05:12.614987-06:00
timescales,4.0,4096.0,Reelay,({x > 0.25} -> (historically[:4096]{x > 0.5})),5000000.0,ms,2162.0,2021-03-02 21:39:04.903042-06:00
timescales,4.0,16384.0,Reelay,({x > 0.25} -> (historically[:16384]{x > 0.5})),5000000.0,ms,2116.0,2021-03-02 21:43:00.892693-06:00
timescales,6.0,256.0,semiring-monitor,(once[:256]{x > 0.5}),100000000.0,ms,1389.0,2021-03-02 20:29:33.862608-06:00
timescales,2.0,256.0,lattice-monitor,F2(256),5000000.0,ms,3442.42501259,2021-03-02 20:59:55.585645-06:00
timescales,7.0,2048.0,semiring-monitor,(({x > 0.25} && !{x > 0.0} && once {x > 0.0}) -> ((once[:2048]({x > 0.5} or {x > 0.0})) since {x > 0.0})),100000000.0,ms,5984.0,2021-03-02 17:58:49.853297-06:00
timescales,8.0,128.0,Reelay,(({x > 0.75} -> once[128:256] {x > 0.5}) and not( not({x > 0.75}) since[128:] {x > 0.5})),5000000.0,ms,7053.0,2021-03-02 16:49:31.943906-06:00
timescales,9.0,4096.0,semiring-monitor,({x > 0.25} && !{x > 0.0} && once {x > 0.0}) -> ((({x > 0.75} -> once[4096:8192] {x > 0.5}) and not( not({x > 0.75}) since[4096:] {x > 0.5})) since {x > 0.0}),100000000.0,ms,8703.0,2021-03-02 19:04:14.127169-06:00
timescales,1.0,16.0,semiring-monitor,({x > 0.25} -> (historically[:16](not {x > 0.5}))),100000000.0,ms,2510.0,2021-03-02 19:50:25.689037-06:00
timescales,1.0,131072.0,lattice-monitor,F1(131072),5000000.0,ms,1767.64202118,2021-03-02 18:09:49.567969-06:00
timescales,1.0,256.0,lattice-monitor,F1(256),5000000.0,ms,802.396059036,2021-03-02 16:50:11.671351-06:00
timescales,3.0,524288.0,semiring-monitor,((once[:524288]({x > 0.0})) -> ({x > 0.5} since {x > 0.0})),100000000.0,ms,3255.0,2021-03-02 17:42:57.338956-06:00
timescales,3.0,2048.0,semiring-monitor,((once[:2048]({x > 0.0})) -> ({x > 0.5} since {x > 0.0})),100000000.0,ms,3198.0,2021-03-02 16:56:05.461752-06:00
timescales,8.0,524288.0,Reelay,(({x > 0.75} -> once[524288:1048576] {x > 0.5}) and not( not({x > 0.75}) since[524288:] {x > 0.5})),5000000.0,ms,7333.0,2021-03-02 18:46:41.181833-06:00
timescales,0.0,131072.0,semiring-monitor,((once[:131072]{x > 0.0}) -> ((not {x > 0.5}) since {x > 0.0})),100000000.0,ms,3576.0,2021-03-02 17:38:06.448153-06:00
timescales,0.0,65536.0,lattice-monitor,F0(65536),5000000.0,ms,1985.12291908,2021-03-02 20:13:00.378190-06:00
timescales,4.0,32.0,Reelay,({x > 0.25} -> (historically[:32]{x > 0.5})),5000000.0,ms,1981.0,2021-03-02 18:49:47.699708-06:00
timescales,8.0,524288.0,semiring-monitor,(({x > 0.75} -> once[524288:1048576] {x > 0.5}) and not( not({x > 0.75}) since[524288:] {x > 0.5})),100000000.0,ms,5800.0,2021-03-02 17:12:47.198128-06:00
timescales,8.0,128.0,semiring-monitor,(({x > 0.75} -> once[128:256] {x > 0.5}) and not( not({x > 0.75}) since[128:] {x > 0.5})),100000000.0,ms,5702.0,2021-03-02 16:49:39.007626-06:00
