Experiment,FormulaNumber,Bound,Tool,Formula,StreamLength,InputType,TimeUnit,TimeElapsed,Memory,TimeStamp
memory,7.0,512.0,lattice-monitor,x > 0 since[512:] x > 0.5,200000.0,Random,ms,414.405107498,149235376.0,2021-03-08 15:21:30.141381-06:00
memory,5.0,8192.0,Reelay,{x > 0.0} since[8192:8192] {x > 0.5},49152.0,Decreasing,ms,238709.0,51017624.0,2021-03-08 19:11:02.215411-06:00
memory,3.0,128.0,semiring-monitor,once[128:] x > 0.5,10000000.0,Increasing,ms,656.0,62024.0,2021-03-08 13:43:34.428252-06:00
memory,0.0,1024.0,semiring-monitor,once[0:1024] x > 0.5,10000000.0,Decreasing,ms,1057.0,509696.0,2021-03-08 16:55:55.248350-06:00
memory,6.0,32.0,semiring-monitor,x > 0.5 since[32:64] x > 0,10000000.0,Increasing,ms,2631.0,109392.0,2021-03-08 16:49:28.833618-06:00
memory,6.0,32768.0,lattice-monitor,x > 0 since[32768:65536] x > 0.5,200000.0,Random,ms,1011.46793365,276021896.0,2021-03-08 18:10:58.747573-06:00
memory,5.0,16.0,semiring-monitor,x > 0.5 since[16:16] x > 0,10000000.0,Increasing,ms,1578.0,78136.0,2021-03-08 11:59:26.081390-06:00
memory,4.0,64.0,lattice-monitor,x > 0 since[0:64] x > 0.5,200000.0,Random,ms,344.045162201,149235376.0,2021-03-08 15:16:37.572855-06:00
memory,3.0,1024.0,semiring-monitor,once[1024:] x > 0.5,10000000.0,Random,ms,675.0,61984.0,2021-03-08 13:48:04.748339-06:00
memory,3.0,262144.0,semiring-monitor,once[262144:] x > 0.5,10000000.0,Random,ms,679.0,66016.0,2021-03-08 15:05:36.154525-06:00
memory,2.0,128.0,Reelay,once[128:256] {x > 0.5},768.0,Increasing,ms,69.0,11009736.0,2021-03-08 16:51:42.601145-06:00
memory,5.0,262144.0,lattice-monitor,x > 0 since[262144:262144] x > 0.5,1572864.0,Random,ms,6188.96389008,1009527640.0,2021-03-08 15:06:05.632157-06:00
memory,6.0,16.0,semiring-monitor,x > 0.5 since[16:32] x > 0,10000000.0,Random,ms,2641.0,96288.0,2021-03-08 15:13:17.534449-06:00
memory,0.0,1024.0,lattice-monitor,once[0:1024] x > 0.5,200000.0,Increasing,ms,171.013832092,149235376.0,2021-03-08 16:55:46.626868-06:00
memory,2.0,2048.0,Reelay,once[2048:4096] {x > 0.5},12288.0,Random,ms,97.0,16413704.0,2021-03-08 16:58:22.711103-06:00
memory,3.0,4096.0,Reelay,once[4096:] {x > 0.5},24576.0,Random,ms,118.0,10200960.0,2021-03-08 12:19:13.017692-06:00
memory,5.0,4096.0,Reelay,{x > 0.0} since[4096:4096] {x > 0.5},24576.0,Random,ms,58453.0,36593016.0,2021-03-08 20:00:01.265699-06:00
memory,1.0,32.0,Reelay,once[32:32] {x > 0.5},10000.0,Increasing,ms,262.0,14498272.0,2021-03-08 19:53:29.493062-06:00
memory,2.0,65536.0,lattice-monitor,once[65536:131072] x > 0.5,200000.0,Decreasing,ms,517.488956451,408612584.0,2021-03-08 15:02:41.734390-06:00
memory,1.0,8192.0,Reelay,once[8192:8192] {x > 0.5},49152.0,Random,ms,235016.0,59151424.0,2021-03-08 19:25:42.863208-06:00
memory,2.0,16.0,lattice-monitor,once[16:32] x > 0.5,200000.0,Decreasing,ms,187.442064285,149235376.0,2021-03-08 13:38:12.799075-06:00
memory,0.0,4096.0,semiring-monitor,once[0:4096] x > 0.5,10000000.0,Increasing,ms,1026.0,818080.0,2021-03-08 12:14:50.242472-06:00
memory,7.0,262144.0,lattice-monitor,x > 0 since[262144:] x > 0.5,1572864.0,Random,ms,5323.37093353,1006828336.0,2021-03-08 16:41:11.286553-06:00
