Experiment,FormulaNumber,Bound,Tool,Formula,StreamLength,TimeUnit,TimeElapsed,Memory,TimeStamp,InputType
memory,0.0,128.0,lattice-monitor,once[0:128] x > 0.5,2000000.0,ms,248.652935028,4031570.0,2021-03-01 18:36:41.079940-06:00,Random
memory,5.0,4096.0,Reelay,{x > 0.0} since[4096:4096] {x > 0.5},16384.0,ms,19714.0,138359.0,2021-03-02 09:41:41.191364-06:00,Random
memory,2.0,512.0,semiring-monitor,once[512:1024] x > 0.5,100000000.0,ms,1316.0,78460.0,2021-03-01 18:18:09.974778-06:00,Random
memory,2.0,2048.0,lattice-monitor,once[2048:4096] x > 0.5,2000000.0,ms,432.023048401,4031570.0,2021-03-01 18:57:53.506674-06:00,Random
memory,6.0,131072.0,Reelay,{x > 0.0} since[131072:262144] {x > 0.5},786432.0,ms,4306.0,137591.0,2021-03-01 19:10:49.374533-06:00,Random
memory,0.0,128.0,semiring-monitor,once[0:128] x > 0.5,100000000.0,ms,1311.0,75390.0,2021-03-01 19:25:22.111547-06:00,Random
memory,5.0,128.0,lattice-monitor,x > 0 since[128:128] x > 0.5,2000000.0,ms,794.055938721,4031570.0,2021-03-01 18:07:43.729414-06:00,Random
memory,1.0,2048.0,lattice-monitor,once[2048:2048] x > 0.5,2000000.0,ms,156.689882278,4543602.0,2021-03-01 19:27:05.955879-06:00,Random
memory,4.0,16384.0,semiring-monitor,x > 0.5 since[0:16384] x > 0,100000000.0,ms,3250.0,205486.0,2021-03-01 18:49:36.984290-06:00,Random
memory,5.0,131072.0,lattice-monitor,x > 0 since[131072:131072] x > 0.5,2000000.0,ms,1498.7950325,8617298.0,2021-03-01 19:00:59.779774-06:00,Random
memory,0.0,16384.0,semiring-monitor,once[0:16384] x > 0.5,100000000.0,ms,1328.0,205440.0,2021-03-01 18:30:01.684065-06:00,Random
memory,7.0,4096.0,semiring-monitor,x > 0.5 since[4096:] x > 0,100000000.0,ms,3373.0,172707.0,2021-03-01 18:48:57.036724-06:00,Random
memory,6.0,128.0,lattice-monitor,x > 0 since[128:256] x > 0.5,2000000.0,ms,930.964946747,4031570.0,2021-03-01 18:07:46.896254-06:00,Random
memory,5.0,512.0,lattice-monitor,x > 0 since[512:512] x > 0.5,2000000.0,ms,860.846042633,4031570.0,2021-03-01 19:36:07.093386-06:00,Random
memory,3.0,32768.0,lattice-monitor,once[32768:] x > 0.5,2000000.0,ms,323.369979858,5563538.0,2021-03-01 18:40:18.509007-06:00,Random
memory,7.0,262144.0,semiring-monitor,x > 0.5 since[262144:] x > 0,100000000.0,ms,3369.0,6365861.0,2021-03-01 18:23:42.599200-06:00,Random
memory,3.0,8192.0,semiring-monitor,once[8192:] x > 0.5,100000000.0,ms,894.0,74357.0,2021-03-01 18:10:14.144762-06:00,Random
memory,4.0,2048.0,Reelay,{x > 0.0} since[0:2048] {x > 0.5},100000.0,ms,448.0,138431.0,2021-03-01 19:27:11.327221-06:00,Random
memory,5.0,2048.0,Reelay,{x > 0.0} since[2048:2048] {x > 0.5},8192.0,ms,4811.0,137463.0,2021-03-02 08:47:09.214924-06:00,Random
memory,1.0,8192.0,semiring-monitor,once[8192:8192] x > 0.5,100000000.0,ms,681.0,74357.0,2021-03-01 19:18:14.027967-06:00,Random
memory,2.0,64.0,semiring-monitor,once[64:128] x > 0.5,100000000.0,ms,1288.0,74875.0,2021-03-01 18:36:19.535424-06:00,Random
memory,2.0,16.0,lattice-monitor,once[16:32] x > 0.5,2000000.0,ms,291.46194458,4031570.0,2021-03-01 19:14:23.085323-06:00,Random
memory,4.0,32768.0,semiring-monitor,x > 0.5 since[0:32768] x > 0,100000000.0,ms,3245.0,336558.0,2021-03-01 19:09:32.421936-06:00,Random
memory,2.0,16.0,lattice-monitor,once[16:32] x > 0.5,2000000.0,ms,301.874876022,4031570.0,2021-03-01 18:45:12.178506-06:00,Random
